"GEOID";"Employed";"LaborForce";"Unemployed"
"26163500100";1339;1626;287
"26163500200";1089;1507;418
"26163500300";793;876;83
"26163500400";420;554;134
"26163500500";496;585;89
"26163500600";1247;1467;220
"26163500700";1448;1681;233
"26163500800";864;1054;190
"26163500900";1330;1461;131
"26163501000";865;1266;401
"26163501100";996;1317;321
"26163501200";350;474;124
"26163501300";1185;1614;429
"26163501400";1410;1618;208
"26163501500";1646;1799;153
"26163501600";555;722;167
"26163501700";494;653;159
"26163501800";2291;2444;153
"26163501900";767;924;157
"26163502000";849;979;130
"26163502600";1006;1227;221
"26163502700";642;862;220
"26163503100";1382;1605;223
"26163503200";1088;1349;261
"26163503300";1289;1499;210
"26163503400";371;434;63
"26163503500";881;904;23
"26163503600";633;901;268
"26163503900";652;741;89
"26163504000";421;494;73
"26163504100";551;707;156
"26163504200";617;679;62
"26163504300";620;778;158
"26163504400";416;452;36
"26163505100";1280;1439;159
"26163505200";1413;1769;356
"26163505400";740;898;158
"26163505600";1597;1789;192
"26163505700";856;1079;223
"26163505800";919;1254;335
"26163506100";748;937;189
"26163506200";932;1009;77
"26163506300";391;521;130
"26163506400";138;204;66
"26163506500";541;667;126
"26163506600";1029;1138;109
"26163506700";354;428;74
"26163506800";1335;1535;200
"26163506900";1330;1604;274
"26163507000";599;879;280
"26163507100";515;697;182
"26163507200";557;572;15
"26163507300";971;1084;113
"26163507400";763;891;128
"26163507500";613;757;144
"26163508000";348;388;40
"26163508100";343;488;145
"26163509000";532;625;93
"26163509100";1407;1539;132
"26163510600";1438;1702;264
"26163511200";427;672;245
"26163511300";835;1063;228
"26163511400";821;889;68
"26163511900";425;538;113
"26163512800";557;685;128
"26163513200";609;645;36
"26163513300";954;1123;150
"26163513700";1080;1114;34
"26163513800";805;986;181
"26163513900";531;613;82
"26163514100";780;902;122
"26163514200";598;785;187
"26163514300";557;669;112
"26163514500";200;220;20
"26163515200";224;247;23
"26163515300";1099;1175;76
"26163515400";896;959;63
"26163515700";1270;1290;20
"26163516000";952;1021;40
"26163516400";413;417;4
"26163516500";1486;1611;125
"26163516600";842;941;99
"26163516700";913;1180;267
"26163516800";344;413;69
"26163516900";868;929;61
"26163517000";1963;2040;77
"26163517100";525;560;35
"26163517200";888;894;6
"26163517300";979;1145;166
"26163517500";749;854;105
"26163518000";1337;1358;21
"26163518900";467;595;128
"26163519000";247;311;64
"26163519100";278;346;68
"26163519200";510;569;59
"26163519300";523;668;145
"26163520200";1599;1744;145
"26163520300";1358;1533;175
"26163520400";898;974;76
"26163520700";2057;2126;69
"26163520800";1040;1124;84
"26163521100";742;771;29
"26163521400";689;732;43
"26163521500";481;562;81
"26163521800";420;502;82
"26163521900";1341;1419;78
"26163522000";400;501;101
"26163522300";212;323;111
"26163522400";296;414;118
"26163522500";349;404;55
"26163522800";424;528;104
"26163523100";395;454;59
"26163523200";760;1055;295
"26163523300";1041;1128;87
"26163523400";940;1011;71
"26163523800";1747;1981;234
"26163524001";850;975;125
"26163524101";935;1064;129
"26163524200";1747;1834;87
"26163524300";1000;1106;106
"26163524500";48;58;10
"26163524600";533;700;167
"26163524700";1385;1455;70
"26163524800";1300;1476;176
"26163525400";618;680;62
"26163525700";2120;2403;283
"26163525800";547;623;76
"26163525900";943;985;42
"26163526000";819;882;63
"26163526100";708;754;46
"26163526200";828;958;130
"26163526300";938;1053;115
"26163526400";524;669;145
"26163526500";394;479;85
"26163527900";610;677;67
"26163530100";942;1196;254
"26163530200";1386;1606;220
"26163530300";447;599;152
"26163530400";318;423;105
"26163530500";613;726;113
"26163530800";411;469;58
"26163530900";403;404;1
"26163531100";425;553;128
"26163531200";1261;1316;55
"26163531300";263;456;193
"26163531400";533;572;39
"26163531501";617;687;70
"26163531502";225;348;123
"26163531600";623;660;37
"26163531700";397;505;108
"26163531800";422;689;267
"26163531900";309;445;136
"26163532100";974;1102;128
"26163532400";357;393;36
"26163532600";1093;1167;74
"26163532700";131;153;22
"26163533000";492;535;43
"26163533100";481;578;97
"26163533200";407;500;93
"26163533300";501;501;0
"26163533400";463;820;357
"26163533600";451;537;86
"26163533800";535;659;124
"26163533900";1454;1614;122
"26163534100";592;670;78
"26163534200";919;1101;182
"26163534300";423;490;67
"26163534400";488;632;144
"26163534700";996;1181;185
"26163534800";543;710;167
"26163535000";954;1193;239
"26163535100";415;523;108
"26163535200";513;617;104
"26163535300";1334;1540;206
"26163535600";1588;1929;341
"26163535700";432;485;53
"26163535800";1137;1463;326
"26163536100";684;1106;422
"26163536200";760;815;55
"26163536300";1015;1123;108
"26163536400";806;1134;328
"26163536500";572;742;170
"26163536600";1031;1277;246
"26163536700";420;455;35
"26163536800";517;710;193
"26163536900";822;1209;387
"26163537000";777;999;222
"26163537100";541;744;203
"26163537200";145;169;24
"26163537300";673;892;219
"26163537500";965;1186;221
"26163537600";685;829;144
"26163537700";802;843;41
"26163537800";246;289;43
"26163538100";1121;1235;114
"26163538200";825;956;131
"26163538300";923;981;58
"26163538400";2081;2279;198
"26163538500";2183;2454;271
"26163538600";2353;2582;229
"26163538700";1420;1702;282
"26163538800";822;1000;178
"26163538900";1424;1664;240
"26163539000";843;1192;349
"26163539100";659;727;68
"26163539200";1413;1624;211
"26163539300";1963;2515;552
"26163539400";1316;1396;80
"26163539500";1343;1400;57
"26163539600";1655;1751;96
"26163539700";697;786;89
"26163540100";1276;1341;65
"26163540200";961;1340;379
"26163540300";1345;1440;95
"26163540400";770;915;145
"26163540500";966;1312;346
"26163540600";1231;1425;194
"26163540700";1143;1305;162
"26163540800";924;983;59
"26163540900";1123;1264;141
"26163541000";1546;1807;261
"26163541100";596;641;45
"26163541200";550;819;269
"26163541300";1208;1375;167
"26163541400";708;966;258
"26163541500";1441;1631;190
"26163541700";1002;1304;302
"26163541800";1023;1154;131
"26163542100";1738;2021;283
"26163542200";1292;1416;124
"26163542300";570;1115;545
"26163542400";975;1062;87
"26163542500";1069;1257;188
"26163542600";1255;1486;231
"26163542900";1576;1824;248
"26163543000";1022;1068;46
"26163543100";984;1189;205
"26163543200";925;1060;135
"26163543300";1355;1466;90
"26163543400";1594;1817;223
"26163543500";235;310;75
"26163543700";684;775;91
"26163543900";317;405;88
"26163544000";1206;1368;162
"26163544100";1079;1358;279
"26163544200";574;705;131
"26163544300";1006;1028;22
"26163544800";627;822;195
"26163545100";190;345;155
"26163545200";667;785;118
"26163545500";1289;1496;207
"26163545600";1158;1700;542
"26163545700";981;1141;160
"26163545800";1987;2545;558
"26163545900";1814;2006;192
"26163546000";978;1143;165
"26163546100";1321;1490;169
"26163546201";1745;1799;54
"26163546301";492;557;65
"26163546600";622;815;193
"26163546700";1104;1299;195
"26163547000";1100;1325;225
"26163547100";1714;1857;143
"26163547200";1269;1671;402
"26163981700";0;0;0
"26163981800";0;0;0
"26163983600";0;0;0
"26163984100";0;0;0
"26163984200";0;0;0
"26163985000";0;0;0
"26163985100";75;94;19
"26163985200";0;0;0
"26163985300";152;159;7
"26163985500";0;0;0
"26163985800";0;0;0
"26163985900";0;0;0
