"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163516900";40;2550;9;10;0;0.0153315446531238;0.977385971636642;0.00344959754695286;0;0.00383288616328095
"26163521400";494;393;0;31;322;0.398387096774194;0.316935483870968;0;0.259677419354839;0.025
"26163522400";65;934;0;13;0;0.0642292490118577;0.922924901185771;0;0;0.0128458498023715
"26163523200";426;198;0;60;3236;0.108673469387755;0.0505102040816327;0;0.825510204081633;0.0153061224489796
"26163524700";78;3669;0;3;80;0.0203655352480418;0.957963446475196;0;0.02088772845953;0.000783289817232376
"26163525800";277;109;0;1;1197;0.174873737373737;0.0688131313131313;0;0.755681818181818;0.000631313131313131
"26163526200";1239;476;34;83;1563;0.364948453608247;0.14020618556701;0.0100147275405007;0.460382916053019;0.0244477172312224
"26163530500";55;2511;0;93;0;0.0206844678450545;0.944339977435126;0;0;0.0349755547198195
"26163531100";34;898;7;66;56;0.0320452403393025;0.846371347785108;0.00659754948162111;0.0527803958529689;0.0622054665409991
"26163531200";90;2820;0;77;16;0.02997002997003;0.939060939060939;0;0.00532800532800533;0.0256410256410256
"26163531600";43;1491;0;32;27;0.026993094789705;0.935969868173258;0;0.0169491525423729;0.0200878844946642
"26163533300";20;1540;0;76;0;0.0122249388753056;0.941320293398533;0;0;0.0464547677261614
"26163534200";34;3747;0;148;0;0.00865360142529906;0.953677780605752;0;0;0.0376686179689488
"26163535200";96;2381;22;59;52;0.0367816091954023;0.912260536398467;0.00842911877394636;0.0199233716475096;0.0226053639846743
"26163536600";0;2701;19;20;16;0;0.980043541364296;0.00689404934687954;0.0058055152394775;0.00725689404934688
"26163536900";102;3018;0;77;88;0.0310502283105023;0.918721461187215;0;0.0267884322678843;0.0234398782343988
"26163537200";13;856;0;23;4;0.0145089285714286;0.955357142857143;0;0.00446428571428571;0.0256696428571429
"26163539600";106;3152;0;0;24;0.032297379646557;0.960390006093845;0;0.00731261425959781;0
"26163542100";63;3983;0;56;49;0.015177065767285;0.959527824620573;0;0.0118043844856661;0.0134907251264755
"26163539400";55;3343;0;83;10;0.0157547980521341;0.957605270696076;0;0.00286450873675165;0.0237754225150387
"26163540200";34;3345;0;27;0;0.00998238402818555;0.982090428655314;0;0;0.00792718731650029
"26163541100";482;2449;0;72;9;0.160026560424967;0.813081009296149;0;0.00298804780876494;0.0239043824701195
"26163542300";35;2123;0;17;0;0.0160919540229885;0.976091954022989;0;0;0.00781609195402299
"26163544000";223;2138;0;1;0;0.0944115156646909;0.905165114309907;0;0;0.000423370025402202
"26163517200";612;1036;43;71;37;0.340188993885492;0.575875486381323;0.0239021678710395;0.0205669816564758;0.0394663702056698
"26163520700";780;1460;81;12;67;0.325;0.608333333333333;0.03375;0.0279166666666667;0.005
"26163523400";501;629;0;33;1526;0.18631461509855;0.233915953886203;0;0.567497210859055;0.0122722201561919
"26163524500";135;47;0;22;532;0.183423913043478;0.0638586956521739;0;0.722826086956522;0.0298913043478261
"26163504200";2;1941;0;34;1;0.00101112234580384;0.981294236602629;0;0.000505561172901921;0.0171890798786653
"26163501400";292;3800;0;12;45;0.0703784044348036;0.91588334538443;0;0.0108459869848156;0.00289226319595083
"26163510500";378;1252;3068;163;0;0.0777617774120551;0.25756017280395;0.631145854762395;0;0.0335321950216005
"26163511200";128;1220;0;37;0;0.0924187725631769;0.88086642599278;0;0;0.0267148014440433
"26163512600";11;1477;0;28;0;0.00725593667546174;0.974274406332454;0;0;0.0184696569920844
"26163514300";63;3674;6;0;0;0.0168314186481432;0.981565589099653;0.00160299225220411;0;0
"26163541500";145;3849;0;27;14;0.0359355638166047;0.953903345724907;0;0.00346964064436183;0.00669144981412639
"26163541700";47;2006;0;32;0;0.0225419664268585;0.962110311750599;0;0;0.015347721822542
"26163543200";136;2491;0;155;91;0.0473372781065089;0.86703793943613;0;0.0316742081447964;0.0539505743125653
"26163545300";51;1675;0;8;16;0.0291428571428571;0.957142857142857;0;0.00914285714285714;0.00457142857142857
"26163545400";55;679;0;10;34;0.070694087403599;0.872750642673522;0;0.0437017994858612;0.012853470437018
"26163545600";2391;1171;0;49;437;0.590662055335968;0.289278656126482;0;0.107954545454545;0.012104743083004
"26163546700";139;2725;0;38;1;0.0478815018945918;0.93868411987599;0;0.00034447123665174;0.0130899069927661
"26163546300";376;1410;0;59;0;0.203794037940379;0.764227642276423;0;0;0.0319783197831978
"26163530900";23;2384;1;39;0;0.00939926440539436;0.974254188802615;0.000408663669799755;0;0.0159378831221904
"26163527200";3;788;0;1;53;0.00355029585798817;0.932544378698225;0;0.0627218934911243;0.00118343195266272
"26163527300";2;1062;0;44;8;0.0017921146953405;0.951612903225806;0;0.00716845878136201;0.039426523297491
"26163533900";625;2207;45;53;0;0.213310580204778;0.753242320819113;0.015358361774744;0;0.0180887372013652
"26163534600";19;1560;0;29;106;0.0110851808634772;0.910151691948658;0;0.0618436406067678;0.0169194865810968
"26163537600";89;3454;14;11;84;0.0243702081051479;0.94578313253012;0.00383351588170865;0.0230010952902519;0.00301204819277108
"26163536400";25;2712;0;71;0;0.0089031339031339;0.965811965811966;0;0;0.0252849002849003
"26163540500";57;3225;0;0;0;0.0173674588665448;0.982632541133455;0;0;0
"26163500700";161;4467;0;48;64;0.0339662447257384;0.942405063291139;0;0.0135021097046414;0.010126582278481
"26163540800";36;2072;1;27;9;0.0167832167832168;0.965967365967366;0.000466200466200466;0.0041958041958042;0.0125874125874126
"26163503900";3;2129;0;19;43;0.00136736554238833;0.970373746581586;0;0.0195989061075661;0.00865998176845944
"26163540400";38;2490;0;6;17;0.0148961191689534;0.97608780870247;0;0.0066640533124265;0.00235201881615053
"26163524300";790;171;0;15;1945;0.270455323519343;0.0585415953440603;0;0.665867853474837;0.00513522766175967
"26163503600";120;1429;133;0;1;0.071301247771836;0.849079025549614;0.0790255496137849;0.0005941770647653;0
"26163506100";124;1733;80;27;0;0.0631364562118126;0.882382892057026;0.0407331975560081;0;0.0137474541751527
"26163531400";14;1536;0;15;25;0.00880503144654088;0.966037735849057;0;0.0157232704402516;0.00943396226415094
"26163536300";64;3035;0;0;0;0.0206518231687641;0.979348176831236;0;0;0
"26163544300";538;1817;0;108;17;0.216935483870968;0.732661290322581;0;0.00685483870967742;0.0435483870967742
"26163546000";394;2823;0;31;1;0.121268082486919;0.868882733148661;0;0.000307787011388119;0.0095413973530317
"26163546400";68;1304;0;0;0;0.0495626822157434;0.950437317784257;0;0;0
"26163501200";52;1687;0;0;0;0.0299022426682001;0.9700977573318;0;0;0
"26163503100";377;2627;1;128;0;0.120331950207469;0.838493456750718;0.000319182891797;0;0.040855410150016
"26163503200";233;2637;0;44;13;0.0796036897847626;0.900922446190639;0;0.00444140758455757;0.015032456440041
"26163503400";5;1201;42;15;0;0.00395882818685669;0.950910530482977;0.0332541567695962;0;0.0118764845605701
"26163505200";110;3192;0;145;43;0.0315186246418338;0.914613180515759;0;0.0123209169054441;0.0415472779369628
"26163506800";78;3922;0;94;56;0.0187951807228916;0.945060240963855;0;0.0134939759036145;0.0226506024096386
"26163541200";114;1688;0;42;50;0.0601900739176346;0.891235480464625;0;0.0263991552270327;0.0221752903907075
"26163543100";227;2237;10;47;0;0.0900436334787783;0.887346291154304;0.00396667988893296;0;0.0186433954779849
"26163543700";161;2083;20;72;35;0.0679038380430198;0.878532264867145;0.00843525938422606;0.0147617039223956;0.0303669337832138
"26163546100";507;3563;0;90;122;0.118402615600187;0.832087809434844;0;0.0284913591779542;0.0210182157870154
"26163538500";11;5003;0;202;0;0.00210889570552147;0.959164110429448;0;0;0.0387269938650307
"26163539000";6;2975;0;48;43;0.001953125;0.968424479166667;0;0.0139973958333333;0.015625
"26163539700";21;2016;7;14;0;0.0102040816326531;0.979591836734694;0.00340136054421769;0;0.00680272108843537
"26163500200";103;2551;52;110;0;0.0365767045454545;0.905894886363636;0.0184659090909091;0;0.0390625
"26163500300";86;2064;1;81;11;0.0383415069103879;0.920196165849309;0.000445831475702185;0.00490414623272403;0.0361123495318769
"26163500500";13;1663;0;21;9;0.00762016412661196;0.974794841735053;0;0.00527549824150059;0.0123094958968347
"26163501100";95;3213;0;30;10;0.0283751493428913;0.959677419354839;0;0.0029868578255675;0.00896057347670251
"26163501300";101;3559;0;0;19;0.027453112258766;0.967382440880674;0;0.00516444686055993;0
"26163515400";459;1024;16;40;44;0.289955780164245;0.646873025900189;0.0101073910296905;0.0277953253316488;0.0252684775742262
"26163515700";331;3123;0;74;38;0.0928210880538418;0.875771172181716;0;0.0106561974200785;0.0207515423443634
"26163516400";344;850;17;12;1;0.281045751633987;0.694444444444444;0.0138888888888889;0.000816993464052288;0.00980392156862745
"26163545500";981;2904;0;234;240;0.225051617343427;0.666207845836201;0;0.0550584996558844;0.0536820371644873
"26163513900";39;1817;0;27;15;0.0205479452054795;0.957323498419389;0;0.00790305584826133;0.0142255005268704
"26163506200";51;2272;0;5;15;0.0217669654289373;0.96969696969697;0;0.00640204865556978;0.00213401621852326
"26163506900";178;3960;0;1;76;0.0422301304863582;0.939501779359431;0;0.0180308422301305;0.000237247924080664
"26163510400";16;646;0;0;0;0.0241691842900302;0.97583081570997;0;0;0
"26163514100";27;3043;13;6;57;0.00858232676414495;0.967260012714558;0.00413223140495868;0.0181182453909727;0.00190718372536554
"26163515600";18;1160;0;8;0;0.015177065767285;0.978077571669477;0;0;0.00674536256323777
"26163516300";53;730;0;5;7;0.0666666666666667;0.918238993710692;0;0.00880503144654088;0.00628930817610063
"26163521100";436;454;4;65;1190;0.202885062819916;0.211261051651931;0.00186133085155886;0.553745928338762;0.0302466263378315
"26163521300";93;665;0;24;101;0.105322763306908;0.753114382785957;0;0.114382785956965;0.0271800679501699
"26163522200";64;475;0;0;85;0.102564102564103;0.761217948717949;0;0.136217948717949;0
"26163985000";0;0;0;0;0;NA;NA;NA;NA;NA
"26163985100";20;96;0;5;5;0.158730158730159;0.761904761904762;0;0.0396825396825397;0.0396825396825397
"26163985200";0;0;0;0;0;NA;NA;NA;NA;NA
"26163985300";0;0;0;0;0;NA;NA;NA;NA;NA
"26163985500";0;0;0;0;0;NA;NA;NA;NA;NA
"26163985900";0;0;0;0;0;NA;NA;NA;NA;NA
"26163533000";44;1343;0;57;56;0.0293333333333333;0.895333333333333;0;0.0373333333333333;0.038
"26163530200";750;3228;58;139;60;0.177095631641086;0.762219598583235;0.0136953955135773;0.0141676505312869;0.0328217237308146
"26163531300";29;1236;0;14;1;0.02265625;0.965625;0;0.00078125;0.0109375
"26163531800";85;1935;0;0;0;0.0420792079207921;0.957920792079208;0;0;0
"26163542400";37;2327;0;29;0;0.0154617634768074;0.972419557041371;0;0;0.012118679481822
"26163543400";40;3033;0;74;0;0.0127105179536066;0.963775023832221;0;0;0.0235144582141722
"26163543600";267;1022;6;28;8;0.200601051840721;0.767843726521412;0.00450788880540947;0.00601051840721262;0.0210368144252442
"26163545100";27;1150;0;0;15;0.0226510067114094;0.964765100671141;0;0.0125838926174497;0
"26163500100";362;2920;0;28;0;0.109365558912387;0.882175226586103;0;0;0.00845921450151057
"26163500900";38;3818;0;0;11;0.00982673907421774;0.987328678562193;0;0.00284458236358935;0
"26163501000";119;2704;0;272;88;0.0373861137291863;0.849513038014452;0;0.0276468740182218;0.0854539742381401
"26163501800";864;3482;0;164;53;0.189349112426035;0.763094455402148;0;0.0116151654613193;0.0359412667104975
"26163503500";106;3182;0;0;60;0.0316606929510155;0.950418160095579;0;0.017921146953405;0
"26163504700";67;2001;0;99;0;0.0309183202584218;0.923396400553761;0;0;0.0456852791878173
"26163506500";28;2282;0;20;0;0.0120171673819742;0.979399141630901;0;0;0.00858369098712446
"26163507800";45;662;0;0;0;0.0636492220650637;0.936350777934936;0;0;0
"26163542700";80;1071;0;8;4;0.0687876182287188;0.920894239036973;0;0.00343938091143594;0.00687876182287188
"26163541400";401;2013;0;21;0;0.164681724845996;0.826694045174538;0;0;0.00862422997946612
"26163542800";209;2112;0;99;0;0.0863636363636364;0.872727272727273;0;0;0.0409090909090909
"26163543000";130;2295;0;29;88;0.0511408339889851;0.902832415420928;0;0.034618410700236;0.0114083398898505
"26163544200";452;1749;73;14;91;0.189995796553174;0.735182849936948;0.0306851618327028;0.0382513661202186;0.0058848255569567
"26163545700";953;833;0;21;691;0.381505204163331;0.333466773418735;0;0.27662129703763;0.00840672538030424
"26163546900";17;1177;0;12;0;0.0140961857379768;0.975953565505804;0;0;0.00995024875621891
"26163536500";81;2213;0;43;47;0.0339765100671141;0.928271812080537;0;0.0197147651006711;0.0180369127516779
"26163537000";68;3208;0;119;42;0.0197846959557754;0.933372126854815;0;0.0122199592668024;0.0346232179226069
"26163537300";1;2786;0;24;24;0.000352733686067019;0.982716049382716;0;0.00846560846560847;0.00846560846560847
"26163537500";94;2630;0;0;0;0.0345080763582966;0.965491923641703;0;0;0
"26163538600";10;4907;15;167;23;0.00195236235845373;0.958024209293245;0.00292854353768059;0.00449043342444358;0.0326044513861773
"26163538700";26;3780;0;94;4;0.00665983606557377;0.968237704918033;0;0.00102459016393443;0.024077868852459
"26163538800";14;1646;0;65;4;0.00809716599190283;0.951995373048005;0;0.00231347599768652;0.037593984962406
"26163512100";38;3104;0;0;0;0.0120942075111394;0.987905792488861;0;0;0
"26163512300";40;1316;28;37;100;0.0262984878369494;0.865220249835635;0.0184089414858646;0.0657462195923734;0.0243261012491782
"26163535000";146;2618;0;190;0;0.049424509140149;0.886255924170616;0;0;0.0643195666892349
"26163525600";306;76;0;43;1665;0.146411483253589;0.0363636363636364;0;0.796650717703349;0.0205741626794258
"26163526000";1360;230;0;79;1287;0.460081190798376;0.077807848443843;0;0.435385656292287;0.0267253044654939
"26163533100";9;1679;0;50;9;0.00515168860904408;0.961076130509445;0;0.00515168860904408;0.0286204922724671
"26163517500";270;1897;134;20;0;0.11632916846187;0.817320120637656;0.0577337354588539;0;0.00861697544161999
"26163518500";191;756;0;90;14;0.181731684110371;0.719314938154139;0;0.0133206470028544;0.0856327307326356
"26163523100";339;193;2;38;1245;0.186571271326362;0.106219042377545;0.00110071546505228;0.685195376995047;0.0209135938359934
"26163504400";27;1724;0;125;0;0.0143923240938166;0.918976545842217;0;0;0.0666311300639659
"26163530800";31;2034;0;7;14;0.0148609779482263;0.975071907957814;0;0.00671140939597315;0.00335570469798658
"26163524200";1408;178;0;180;3781;0.253830899585361;0.032089417703263;0;0.68162970975302;0.0324499729583559
"26163526400";86;413;0;0;1418;0.0448617631716223;0.215440792905582;0;0.739697443922796;0
"26163530100";85;2205;6;101;0;0.0354609929078014;0.919899874843554;0.00250312891113892;0;0.0421360033375052
"26163500400";78;816;13;90;22;0.0765456329735034;0.800785083415113;0.0127576054955839;0.0215897939156035;0.0883218842001963
"26163504100";0;1439;0;5;0;0;0.996537396121884;0;0;0.00346260387811634
"26163500800";277;2168;19;53;0;0.11005164878824;0.861342868494239;0.00754866905045689;0;0.021056813667064
"26163501900";113;2836;0;140;0;0.0365814179346067;0.918096471349951;0;0;0.0453221107154419
"26163502000";65;2577;0;0;0;0.0246025738077214;0.975397426192279;0;0;0
"26163504300";57;2114;0;0;3;0.0262189512419503;0.972401103955842;0;0.00137994480220791;0
"26163505000";27;1156;10;21;0;0.0222405271828666;0.952224052718287;0.00823723228995058;0;0.0172981878088962
"26163506400";354;1931;42;108;29;0.143668831168831;0.783685064935065;0.0170454545454545;0.0117694805194805;0.0438311688311688
